Red,Green,Blue
3925,7942,5033
4088,7974,5286
4267,8414,5580
4185,8305,5451
4034,8034,5326
3914,7894,5177
4059,8097,5351
4078,8144,5322
3839,7819,5058
3945,7890,5294
3885,7754,5273
3843,7677,5116
3763,7612,5002
3806,7516,5031
3852,7420,5048
3609,7066,4804
3583,7099,4769
3598,7084,4858
3598,7084,4858
3590,6961,4923
3383,6685,4677
3496,6732,4788
3416,6651,4785
3649,6970,5114
3511,6727,5013
3555,6996,5005
3469,6996,4891
3558,7076,4981
3532,6994,4918
3578,7174,4928
3594,7242,4858
3684,7423,5001
3667,7443,5018
3515,6940,4839
3378,6541,4667
3196,6191,4460
3248,6239,4522
3346,6331,4646
3322,6365,4629
3259,6449,4579
3340,6708,4686
3266,6570,4614
3086,6074,4367
3147,6049,4416
3405,6457,4688
3342,6446,4586
3405,6788,4615
3466,6803,4695
3338,6426,4482
3412,6416,4530
3394,6360,4422
3394,6360,4422
3394,6306,4315
3562,6579,4457
3729,6954,4627
3734,6934,4586
3811,7065,4565
3866,7015,4588
3844,6886,4615
3955,7210,4723
3941,7271,4728
3846,7074,4643
3867,7050,4624
4104,7233,4717
4211,7345,4682
4643,8112,4932
5309,9139,5268
5958,10040,5640
6500,10824,5982
6618,10854,5953
6487,10451,5825
6452,10329,5633
6696,10499,5702
7489,11667,6176
8271,12928,6561
8489,13273,6604
8501,13179,6639
8392,13016,6528
8621,13481,6719
8734,13816,6773
8874,14068,6943
8918,14205,7191
8489,13826,6862
8102,13401,6631
8102,13401,6631
8164,13566,6927
8169,13694,7053
7931,13482,6887
7511,12959,6587
7526,12986,6768
7099,12553,6487
6892,12263,6500
6841,12215,6564
7028,12533,6764
6923,12362,6804
6805,12202,6569
7163,12686,7002
6996,12583,6602
7057,12464,6756
7184,12406,6773
7201,12390,6564
7638,12712,6945
7384,12178,6443
7997,13018,6660
8567,13783,7114
7940,12920,6626
7813,12867,6605
7750,13057,6605
7142,12108,6307
6534,11287,6127
6121,10748,5989
6053,10805,5885
6099,10925,5948
6247,11109,6166
6065,10839,5931
5996,10749,5858
5996,10749,5858
6031,10795,5994
6010,10878,5899
5956,10802,5866
6084,10970,6018
6267,11186,6128
6432,11270,6212
6789,11732,6264
7580,12555,6618
8175,13247,6748
8269,13257,6661
8998,14068,6987
9676,15101,7409
9789,15305,7498
9517,15106,7230
9913,15803,7530
9935,15854,7432
10021,15751,7556
10033,15900,7536
10470,16437,7911
10400,16290,7782
10403,16277,7863
10191,15962,7715
9898,15593,7508
9638,15270,7420
9338,14835,7214
8706,13803,6769
8444,13384,6669
8468,13527,6865
8269,13338,6732
8743,13967,6973
8741,13868,6780
8990,14032,6985
8990,14032,6985
8717,13471,6627
8190,12704,6414
6609,10240,5577
6263,9858,5447
6297,10228,5556
6174,10284,5689
5675,9717,5439
5133,9027,5186
4049,7299,4644
3321,6196,4256
3111,5843,4192
