Red,Green,Blue
8392,4844,4743
8294,4870,4689
8972,5255,5012
8942,5198,4888
9097,5315,4944
9086,5519,4990
9155,5811,5129
9119,5795,5016
8430,5451,4728
8070,5233,4541
7974,5192,4510
8103,5288,4569
8277,5357,4618
8147,5337,4599
8442,5476,4694
8619,5514,4727
8339,5416,4733
7860,5225,4642
7777,5181,4621
7738,5150,4615
7770,5142,4653
7658,5000,4589
7445,4800,4493
7445,4800,4493
7032,4559,4342
6717,4354,4218
6444,4245,4195
6420,4306,4281
6605,4529,4491
6580,4443,4415
6484,4203,4209
6599,4153,4167
6342,4174,4161
6518,4309,4248
6796,4399,4280
6641,4373,4248
6863,4505,4330
6745,4476,4324
6684,4421,4308
6576,4365,4263
6660,4431,4315
6710,4439,4306
6915,4514,4389
7033,4469,4376
7379,4633,4537
7479,4744,4645
7343,4773,4720
6976,4582,4595
6823,4503,4532
7143,4754,4767
7201,4720,4745
6835,4545,4587
6823,4494,4525
6823,4470,4488
6292,4119,4147
6495,4235,4281
6495,4235,4281
6757,4349,4400
6632,4351,4381
6683,4331,4364
6868,4462,4509
6950,4541,4596
6668,4386,4423
6143,4104,4152
5836,4012,4062
5886,4183,4229
5615,4057,4117
6058,4257,4308
6207,4348,4393
6165,4284,4330
6161,4264,4304
6296,4391,4416
6323,4388,4403
6425,4393,4419
6198,4256,4298
6227,4275,4312
6431,4385,4440
6478,4328,4377
6525,4394,4464
6821,4594,4660
6386,4500,4574
5663,4015,4077
5989,4047,4104
7137,4530,4525
8156,4904,4812
8407,5144,4982
8532,5098,4959
8307,4950,4837
7310,4528,4467
7310,4528,4467
7583,4675,4566
7368,4715,4557
7100,4223,3980
8343,5090,4780
7564,4562,4341
7191,4474,4307
7255,4421,4370
7883,4627,4581
8224,4907,4874
7601,4593,4569
7072,4406,4399
7315,4461,4445
7649,4678,4638
7414,4615,4574
7480,4749,4710
7662,4764,4679
7902,4756,4641
7513,4398,4307
8027,4889,4668
8146,4958,4732
8007,5014,4792
8150,5061,4697
8796,5678,4994
9218,6133,5024
8935,5886,4955
9873,7558,5498
9536,8103,5472
8917,7643,5201
8734,7508,5138
8455,7547,5285
8670,7670,5398
8881,7724,5494
8881,7724,5494
8529,7635,5370
8259,7779,5092
8520,7976,5175
8759,8163,5266
8728,8349,5297
8927,8648,5436
8625,8219,5255
8382,7866,5125
8790,8329,5329
8711,8396,5306
8705,8352,5293
8716,8478,5391
8574,8429,5345
9124,9078,5642
8798,8703,5447
8516,8509,5380
8117,8161,5249
7840,7855,5130
7478,7477,4940
7284,7284,4850
6906,6876,4650
6556,6498,4432
6323,6292,4281
6329,6221,4264
6628,6575,4533
6449,6442,4427
6052,6005,4221
6334,6262,4382
6765,6684,4585
6871,6774,4608
7051,7113,4726
6473,6462,4472
6473,6462,4472
6155,6167,4346
5745,5754,4130
5125,5126,3817
4842,4926,3790
4599,4751,3787
4181,4356,3614
4052,4217,3558
4062,4227,3595
4205,4302,3692
4435,4445,3736
4628,4591,3775
4707,4545,3752
5870,5686,4167
7017,7048,4653
8850,8306,5286
9607,7815,5365
8691,6725,4975
8204,6084,4825
7698,6407,4770
7315,6917,4772
7667,6949,4832
7650,6608,4750
7466,5746,4622
6985,5104,4436
6784,4981,4284
6508,4838,4161
6098,4534,4047
6234,4392,4105
6588,4363,4163
7181,4549,4353
7293,4543,4300
7340,4549,4258
7340,4549,4258
7405,4678,4361
7544,4779,4387
7881,5055,4543
7975,5160,4521
8035,5197,4493
8810,5504,4841
9062,5680,4958
9250,5730,4962
9310,5596,4963
9062,5400,4953
8584,5407,4809
7496,5132,4367
7746,5812,4576
8188,6636,4840
8641,7336,5080
9163,7887,5279
9646,8185,5462
9890,8326,5561
9245,8109,5338
8812,7303,5089
8500,6485,4856
8878,6608,4957
10179,7901,5448
9972,8478,5507
8990,8243,5256
9363,8119,5285
10161,8494,5521
10897,9235,5828
9668,7537,5303
7330,5201,4447
5626,3932,3905
5626,3932,3905
5917,4002,4062
5591,3919,3992
6078,4098,4167
6090,4076,4125
5936,4033,4005
6944,4403,4283
6896,4332,4213
7051,4385,4278
7030,4429,4251
11002,7080,5743
11937,9320,6565
11258,9916,6538
11561,10981,6787
11524,11418,6828
11552,11401,6832
12267,12084,7249
12856,13687,8063
12978,13637,8455
12878,13099,8060
11976,11806,7228
12852,13453,8365
13476,14266,8992
13037,12904,7577
13474,13593,8111
13187,13317,7893
13622,13949,8444
15030,15826,10263
13724,13603,8898
11004,9971,6480
10673,9717,6317
9912,9593,6248
7926,7721,5137
7926,7721,5137
11141,11136,6749
13622,13588,8063
16273,16441,10252
16253,16197,10325
14284,13630,8341
13611,13596,8438
12648,11751,8186
9352,8185,5521
9437,8969,5577
10451,10342,6000
10844,10500,6169
11767,11378,6432
12287,11545,6670
13266,12365,7198
13715,12823,7405
12592,11862,6920
12952,12135,7138
13707,12662,7441
14718,13698,7881
15196,14025,8063
15624,14104,8258
15387,13537,8152
15190,13225,8238
14523,12275,7833
13999,11629,7580
13688,11389,7532
13418,11181,7420
13291,11058,7418
12156,10027,6806
10777,8951,6086
10398,9215,6145
10185,9435,5859
10185,9435,5859
10357,9854,5884
10895,10440,6079
11230,10874,6139
11856,11503,6393
12704,12576,6842
13344,13370,7129
13893,13908,7449
14597,14346,7955
14631,13830,7880
14572,13113,7808
14499,12599,7816
14485,12211,7801
14362,11990,7659
14342,11955,7650
14363,11971,7660
14364,11974,7661
14361,11974,7661
14361,11976,7659
14365,11979,7659
14368,11983,7662
14378,11989,7665
14371,11945,7674
13947,11290,7479
13476,10700,7236
13166,10482,7168
12499,9848,6886
11430,8811,6355
10509,8145,5901
9826,7924,5677
9086,7582,5236
8759,7660,5124
9228,8253,5362
9228,8253,5362
9997,8807,5627
11060,9973,6266
11656,10490,6430
12528,11110,6704
12948,11659,6741
13734,13306,7255
14096,13960,7413
14591,14478,7739
14774,14344,7899
15077,14410,8088
15516,14664,8393
15805,14949,8829
17028,16507,10550
16194,15885,9983
14861,14526,8438
14517,14242,8161
15054,15432,9061
14996,15894,9290
13584,13813,7220
14093,14312,7496
14040,13762,7456
13910,13130,7479
13580,12147,7312
14136,12541,7569
14619,12828,7693
14431,12042,7620
13883,11151,7279
13654,10896,7213
13644,10927,7343
13359,10639,7164
13174,10466,7180
13074,10343,7111
13074,10343,7111
12855,10127,7057
12525,9755,6937
12106,9231,6621
11506,8642,6214
11143,8441,6154
10245,7927,5741
9776,7656,5527
9662,7619,5454
8972,7235,5189
8663,7176,5058
8629,7523,5070
9824,9118,5643
11489,11219,6365
12606,12515,6785
13475,13271,7122
13935,13521,7431
14457,14031,7672
14972,14318,8026
15033,13753,8036
14765,13010,7875
14323,11985,7674
13824,11080,7453
13418,10628,7228
13279,10580,7264
12687,9962,6903
11442,8830,6275
10735,8364,5938
