Red,Green,Blue
5706,4074,4177
5871,4093,4064
5913,4072,4103
6091,4181,4264
6315,4264,4324
5826,3994,4064
5983,4066,4118
6359,4315,4420
6329,4207,4229
6373,4173,4248
6228,4340,4471
5786,4395,4443
5382,4054,4071
5617,4243,4376
5661,4223,4302
5883,4273,4344
5894,4238,4270
5660,3919,4038
5630,3916,4035
5628,3927,3996
5689,4122,4186
5689,4122,4186
5584,4181,4248
5550,3993,4031
5785,4133,4159
5925,4221,4301
5868,4273,4336
5380,4245,4279
4960,4115,4086
4768,4094,4116
4821,4139,4096
4906,4263,4265
4914,4110,4100
5004,4053,4070
5150,4132,4167
5285,4326,4467
5147,4121,4123
5101,4069,4091
5099,4012,4030
5291,4039,4071
5386,4248,4302
5373,4232,4265
5330,4177,4238
5275,4169,4195
5032,4136,4176
4737,4018,4035
4850,4268,4262
4791,4173,4192
4705,4079,4132
4706,4080,4170
4703,4087,4113
4610,3888,3895
4963,3920,3958
4997,3829,3883
4997,3829,3883
4986,4026,4065
4949,4432,4421
4497,3914,3933
5034,4278,4265
5134,4328,4255
5177,4627,4634
4491,4034,4001
4311,3944,3909
4074,3784,3763
4015,3890,3896
4033,4057,4037
4060,3926,3922
4301,4031,4036
4275,4019,4015
4198,4075,4110
4340,4119,4120
4625,4229,4240
4813,4458,4448
4505,4215,4195
4170,4024,4017
4139,3876,3888
4316,4090,4079
4207,3962,3933
4165,3960,3987
4318,4060,4045
4369,4122,4095
4603,4301,4304
4492,4091,4045
4352,3900,3887
4156,4154,4146
4078,4135,4108
4170,4204,4190
4170,4204,4190
4314,4257,4214
4292,3827,3856
4370,3861,3887
4589,4049,4078
5149,4550,4646
5314,4288,4266
5727,4227,4274
5898,4432,4463
5836,4658,4696
4478,4091,4074
3745,3752,3763
3853,4015,3956
3937,4189,4163
4744,5683,5654
4429,5392,5396
4122,4917,4855
6958,9390,9579
6282,8374,8482
6164,8148,8262
5951,7774,7916
5899,7537,7604
6048,7767,7859
6434,8564,8691
6533,8767,8815
7014,9645,9723
8008,11315,11444
7769,10923,11106
8029,11194,11285
7695,10656,10815
5027,6307,6319
4066,4766,4697
3682,4158,4085
3682,4158,4085
3563,3983,3920
3716,4207,4122
3926,4592,4561
4069,4759,4734
4893,6002,6013
6943,9003,9187
8630,11180,11502
6028,7225,7357
4701,5032,5016
4569,4840,4815
5143,5407,5438
